2018-10-03T12:36:23,096 | INFO |  | main | linear_20181003.123623.069: creating the storage driver instance for the type "s3"
2018-10-03T12:36:23,180 | INFO |  | main | storage/driver/1/amzs3/405036720: use 4 I/O workers
2018-10-03T12:36:23,211 | DEBUG |  | main | storage/driver/1/amzs3/405036720: closed
2018-10-03T12:36:23,215 | DEBUG |  | main | linear_20181003.123623.069: item output file aggregator initialized
2018-10-03T12:36:23,238 | INFO |  | main | linear_20181003.123623.069: creating the storage driver instance for the type "s3"
2018-10-03T12:36:23,240 | INFO |  | main | storage/driver/1/amzs3/363397863: use 4 I/O workers
2018-10-03T12:36:23,241 | INFO |  | main | Adjust output buffer size: 1MB
2018-10-03T12:36:23,473 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:36:23,473 | DEBUG |  | main | Metrics context "MetricsContextImpl(CREATE-1x1@linear_20181003.123623.069)" registered
2018-10-03T12:36:23,482 | INFO |  | main | linear_20181003.123623.069: load step client started, additional nodes: []
2018-10-03T12:36:23,490 | DEBUG |  | main | linear_20181003.123623.069: await for 1 step slices for at most 9223372036854775807 seconds...
2018-10-03T12:36:23,534 | DEBUG |  | ioWorker#2 | linear_20181003.123623.069: new unpooled connection 1896155533, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
