2017-01-27T13:58:55,642 | DEBUG | ParentJobBase | main | Load the subtree to the job "jsonScenario#2129144075"
2017-01-27T13:58:55,645 | INFO | JsonScenario | main | Scenario start
2017-01-27T13:58:55,646 | INFO | SequentialJob | main | jsonScenario#2129144075: execute 1 child jobs sequentially
2017-01-27T13:58:55,646 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" start
2017-01-27T13:58:55,646 | INFO | LoadJob | main | Run the load job "2017.01.27.13.58.54.904"
2017-01-27T13:58:55,673 | INFO | BasicStorageDriverBuilder | main | Work via HTTP using "S3" cloud storage API
2017-01-27T13:58:55,957 | INFO | LoadJob | main | Load drivers initialized
2017-01-27T13:58:55,959 | INFO | LoadJob | main | Work on the mutable data items
2017-01-27T13:58:56,004 | INFO | LoadJob | main | Load generators initialized
2017-01-27T13:58:56,034 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: await for the done condition at most for 60[s]
2017-01-27T13:58:56,071 | DEBUG | BasicMultiNodeConnPool | ioTasksDispatcher | New connection to "127.0.0.1:9020"
2017-01-27T13:58:56,121 | DEBUG | BasicLoadGenerator | UpdateDataItemsFromFile(items_updated.csv) | com.emc.mongoose.load.generator.BasicLoadGenerator$GeneratorTask@255cc192: end of items input @ the count 16575
2017-01-27T13:58:56,121 | DEBUG | BasicLoadGenerator | UpdateDataItemsFromFile(items_updated.csv) | Produced 16575 items
2017-01-27T13:59:56,041 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: await exit due to timeout
2017-01-27T13:59:56,041 | INFO | LoadJob | main | Load job "2017.01.27.13.58.54.904" timeout
2017-01-27T13:59:56,044 | DEBUG | StorageDriverBase | shutdownWorker#2 | storage/driver/1/s3/1117519786: shut down
2017-01-27T13:59:56,044 | DEBUG | BasicLoadMonitor | shutdownWorker#2 | 2017.01.27.13.58.54.904: storage driver "storage/driver/1/s3/1117519786" shut down
2017-01-27T13:59:56,044 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: load monitor was shut down properly
2017-01-27T13:59:56,045 | DEBUG | StorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: interrupted
2017-01-27T13:59:56,049 | DEBUG | NetStorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: I/O workers stopped in time
2017-01-27T13:59:56,050 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: storage drivers have been interrupted properly
2017-01-27T13:59:56,051 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: interrupted the load monitor
2017-01-27T13:59:56,052 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: the load generator "UpdateDataItemsFromFile(items_updated.csv)" has been closed
2017-01-27T13:59:56,053 | DEBUG | StorageDriverBase | ioResultsGetAndApplyWorker#1 | storage/driver/1/s3/1117519786: closed
2017-01-27T13:59:56,053 | DEBUG | BasicLoadMonitor | ioResultsGetAndApplyWorker#1 | 2017.01.27.13.58.54.904: the storage driver "storage/driver/1/s3/1117519786" has been closed
2017-01-27T13:59:56,053 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: final I/O result have been got and processed properly
2017-01-27T13:59:56,125 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: closed the items output
2017-01-27T13:59:56,125 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.58.54.904: closed the load monitor
2017-01-27T13:59:56,125 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" is done
2017-01-27T13:59:56,125 | INFO | SequentialJob | main | jsonScenario#2129144075: finished the sequential execution of jsonScenario#2129144075 child jobs
2017-01-27T13:59:56,125 | INFO | JsonScenario | main | Scenario end
