2017-01-27T13:29:02,469 | DEBUG | ParentJobBase | main | Load the subtree to the job "jsonScenario#2129144075"
2017-01-27T13:29:02,473 | INFO | JsonScenario | main | Scenario start
2017-01-27T13:29:02,473 | INFO | SequentialJob | main | jsonScenario#2129144075: execute 1 child jobs sequentially
2017-01-27T13:29:02,473 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" start
2017-01-27T13:29:02,473 | INFO | LoadJob | main | Run the load job "2017.01.27.13.29.01.769"
2017-01-27T13:29:02,501 | INFO | BasicStorageDriverBuilder | main | Work via HTTP using "S3" cloud storage API
2017-01-27T13:29:02,786 | INFO | LoadJob | main | Load drivers initialized
2017-01-27T13:29:02,788 | INFO | LoadJob | main | Work on the mutable data items
2017-01-27T13:29:02,800 | INFO | NetStorageDriverBase | main | Adjust output buffer size: 1MB
2017-01-27T13:29:02,998 | INFO | S3StorageDriver | main | Bucket "/2017.01.27.13.29.02.802" created
2017-01-27T13:29:03,109 | INFO | LoadJob | main | Load generators initialized
2017-01-27T13:29:03,132 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: await for the done condition at most for 9223372036854775[s]
2017-01-27T13:29:03,152 | DEBUG | BasicMultiNodeConnPool | ioTasksDispatcher | New connection to "127.0.0.1:9020"
2017-01-27T13:29:03,176 | DEBUG | BasicLoadGenerator | Create10000NewDataItems(1MB) | Produced 10000 items
2017-01-27T13:29:09,952 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: done due to max count done state
2017-01-27T13:29:09,952 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: await exit due to "done" state
2017-01-27T13:29:09,952 | INFO | LoadJob | main | Load job "2017.01.27.13.29.01.769" done
2017-01-27T13:29:09,957 | DEBUG | StorageDriverBase | shutdownWorker#2 | storage/driver/1/s3/1117519786: shut down
2017-01-27T13:29:09,958 | DEBUG | BasicLoadMonitor | shutdownWorker#2 | 2017.01.27.13.29.01.769: storage driver "storage/driver/1/s3/1117519786" shut down
2017-01-27T13:29:09,958 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: load monitor was shut down properly
2017-01-27T13:29:09,959 | DEBUG | StorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: interrupted
2017-01-27T13:29:09,963 | DEBUG | NetStorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: I/O workers stopped in time
2017-01-27T13:29:09,963 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: storage drivers have been interrupted properly
2017-01-27T13:29:09,963 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: interrupted the load monitor
2017-01-27T13:29:09,971 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: the load generator "Create10000NewDataItems(1MB)" has been closed
2017-01-27T13:29:09,971 | DEBUG | StorageDriverBase | ioResultsGetAndApplyWorker#1 | storage/driver/1/s3/1117519786: closed
2017-01-27T13:29:09,971 | DEBUG | BasicLoadMonitor | ioResultsGetAndApplyWorker#1 | 2017.01.27.13.29.01.769: the storage driver "storage/driver/1/s3/1117519786" has been closed
2017-01-27T13:29:09,972 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: final I/O result have been got and processed properly
2017-01-27T13:29:09,978 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.01.769: closed the load monitor
2017-01-27T13:29:09,978 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" is done
2017-01-27T13:29:09,978 | INFO | SequentialJob | main | jsonScenario#2129144075: finished the sequential execution of jsonScenario#2129144075 child jobs
2017-01-27T13:29:09,978 | INFO | JsonScenario | main | Scenario end
