2018-10-03T12:39:02,809 | INFO |  | main | linear_20181003.123902.768: creating the storage driver instance for the type "s3"
2018-10-03T12:39:02,903 | INFO |  | main | storage/driver/1/amzs3/1938025186: use 4 I/O workers
2018-10-03T12:39:02,935 | DEBUG |  | main | storage/driver/1/amzs3/1938025186: closed
2018-10-03T12:39:02,936 | DEBUG |  | main | linear_20181003.123902.768: item output file aggregator initialized
2018-10-03T12:39:02,955 | INFO |  | main | linear_20181003.123902.768: creating the storage driver instance for the type "s3"
2018-10-03T12:39:02,956 | INFO |  | main | storage/driver/1/amzs3/1360541835: use 4 I/O workers
2018-10-03T12:39:02,958 | INFO |  | main | Adjust output buffer size: 1MB
2018-10-03T12:39:03,285 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:39:03,285 | DEBUG |  | main | Metrics context "MetricsContextImpl(CREATE-1x1@linear_20181003.123902.768)" registered
2018-10-03T12:39:03,287 | INFO |  | main | linear_20181003.123902.768: load step client started, additional nodes: []
2018-10-03T12:39:03,301 | DEBUG |  | main | linear_20181003.123902.768: await for 1 step slices for at most 9223372036854775807 seconds...
2018-10-03T12:39:03,347 | DEBUG |  | ioWorker#2 | linear_20181003.123902.768: new unpooled connection 1921140145, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:03,349 | DEBUG |  | fibers-executor-#2 | linear_20181003.123902.768: execute the HTTP request using the channel 1921140145 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
