2017-01-27T13:36:42,821 | DEBUG | ParentJobBase | main | Load the subtree to the job "jsonScenario#2129144075"
2017-01-27T13:36:42,824 | INFO | JsonScenario | main | Scenario start
2017-01-27T13:36:42,824 | INFO | SequentialJob | main | jsonScenario#2129144075: execute 1 child jobs sequentially
2017-01-27T13:36:42,824 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" start
2017-01-27T13:36:42,824 | INFO | LoadJob | main | Run the load job "2017.01.27.13.36.42.115"
2017-01-27T13:36:42,851 | INFO | BasicStorageDriverBuilder | main | Work via HTTP using "S3" cloud storage API
2017-01-27T13:36:43,134 | INFO | LoadJob | main | Load drivers initialized
2017-01-27T13:36:43,135 | INFO | LoadJob | main | Work on the mutable data items
2017-01-27T13:36:43,148 | INFO | NetStorageDriverBase | main | Adjust output buffer size: 1MB
2017-01-27T13:36:43,300 | INFO | S3StorageDriver | main | Bucket "/2017.01.27.13.36.43.149" created
2017-01-27T13:36:43,309 | INFO | LoadJob | main | Load generators initialized
2017-01-27T13:36:43,348 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.36.42.115: await for the done condition at most for 9223372036854775[s]
2017-01-27T13:36:43,366 | DEBUG | BasicMultiNodeConnPool | ioTasksDispatcher | New connection to "127.0.0.1:9020"
2017-01-27T13:36:55,556 | DEBUG | BasicLoadGenerator | CreateNewDataItems(1MB) | com.emc.mongoose.load.generator.BasicLoadGenerator$GeneratorTask@8759361: finish due to output's EOF
2017-01-27T13:36:55,556 | DEBUG | StorageDriverBase | shutdownWorker#2 | storage/driver/1/s3/1117519786: shut down
2017-01-27T13:36:55,556 | DEBUG | BasicLoadGenerator | CreateNewDataItems(1MB) | Produced 1019904 items
2017-01-27T13:36:55,556 | DEBUG | BasicLoadMonitor | shutdownWorker#2 | 2017.01.27.13.36.42.115: storage driver "storage/driver/1/s3/1117519786" shut down
2017-01-27T13:36:55,556 | DEBUG | BasicLoadMonitor | logCtxShutDownHook | 2017.01.27.13.36.42.115: load monitor was shut down properly
2017-01-27T13:36:55,556 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.36.42.115: await exit due to "interrupted" state
2017-01-27T13:36:55,556 | INFO | LoadJob | main | Load job "2017.01.27.13.36.42.115" done
2017-01-27T13:36:55,557 | DEBUG | StorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: interrupted
2017-01-27T13:36:55,557 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.36.42.115: the load generator "CreateNewDataItems(1MB)" has been closed
2017-01-27T13:36:55,563 | DEBUG | NetStorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: I/O workers stopped in time
2017-01-27T13:36:55,563 | DEBUG | BasicLoadMonitor | logCtxShutDownHook | 2017.01.27.13.36.42.115: storage drivers have been interrupted properly
2017-01-27T13:36:55,566 | DEBUG | BasicLoadMonitor | logCtxShutDownHook | 2017.01.27.13.36.42.115: interrupted the load monitor
2017-01-27T13:36:55,574 | DEBUG | StorageDriverBase | ioResultsGetAndApplyWorker#1 | storage/driver/1/s3/1117519786: closed
2017-01-27T13:36:55,574 | DEBUG | BasicLoadMonitor | ioResultsGetAndApplyWorker#1 | 2017.01.27.13.36.42.115: the storage driver "storage/driver/1/s3/1117519786" has been closed
2017-01-27T13:36:55,574 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.36.42.115: final I/O result have been got and processed properly
2017-01-27T13:36:55,577 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.36.42.115: closed the items output
2017-01-27T13:36:55,577 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.36.42.115: closed the load monitor
2017-01-27T13:36:55,577 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" is done
2017-01-27T13:36:55,577 | INFO | SequentialJob | main | jsonScenario#2129144075: finished the sequential execution of jsonScenario#2129144075 child jobs
2017-01-27T13:36:55,577 | INFO | JsonScenario | main | Scenario end
