2017-01-27T13:30:19,712 | DEBUG | ParentJobBase | main | Load the subtree to the job "jsonScenario#2129144075"
2017-01-27T13:30:19,715 | INFO | JsonScenario | main | Scenario start
2017-01-27T13:30:19,715 | INFO | SequentialJob | main | jsonScenario#2129144075: execute 1 child jobs sequentially
2017-01-27T13:30:19,715 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" start
2017-01-27T13:30:19,715 | INFO | LoadJob | main | Run the load job "2017.01.27.13.30.19.001"
2017-01-27T13:30:19,742 | INFO | BasicStorageDriverBuilder | main | Work via HTTP using "S3" cloud storage API
2017-01-27T13:30:20,027 | INFO | LoadJob | main | Load drivers initialized
2017-01-27T13:30:20,029 | INFO | LoadJob | main | Work on the mutable data items
2017-01-27T13:30:20,042 | INFO | NetStorageDriverBase | main | Adjust output buffer size: 1MB
2017-01-27T13:30:20,189 | INFO | S3StorageDriver | main | Bucket "/2017.01.27.13.30.20.043" created
2017-01-27T13:30:20,199 | INFO | LoadJob | main | Load generators initialized
2017-01-27T13:30:20,216 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: await for the done condition at most for 9223372036854775[s]
2017-01-27T13:30:20,235 | DEBUG | BasicMultiNodeConnPool | ioTasksDispatcher | New connection to "127.0.0.1:9020"
2017-01-27T13:30:20,235 | DEBUG | BasicLoadGenerator | Create1000NewDataItems(1MB) | Produced 1000 items
2017-01-27T13:30:21,227 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: done due to max count done state
2017-01-27T13:30:21,228 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: await exit due to "done" state
2017-01-27T13:30:21,228 | INFO | LoadJob | main | Load job "2017.01.27.13.30.19.001" done
2017-01-27T13:30:21,231 | DEBUG | StorageDriverBase | shutdownWorker#2 | storage/driver/1/s3/1117519786: shut down
2017-01-27T13:30:21,231 | DEBUG | BasicLoadMonitor | shutdownWorker#2 | 2017.01.27.13.30.19.001: storage driver "storage/driver/1/s3/1117519786" shut down
2017-01-27T13:30:21,231 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: load monitor was shut down properly
2017-01-27T13:30:21,232 | DEBUG | StorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: interrupted
2017-01-27T13:30:21,237 | DEBUG | NetStorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: I/O workers stopped in time
2017-01-27T13:30:21,237 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: storage drivers have been interrupted properly
2017-01-27T13:30:21,237 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: interrupted the load monitor
2017-01-27T13:30:21,240 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: the load generator "Create1000NewDataItems(1MB)" has been closed
2017-01-27T13:30:21,240 | DEBUG | StorageDriverBase | ioResultsGetAndApplyWorker#1 | storage/driver/1/s3/1117519786: closed
2017-01-27T13:30:21,241 | DEBUG | BasicLoadMonitor | ioResultsGetAndApplyWorker#1 | 2017.01.27.13.30.19.001: the storage driver "storage/driver/1/s3/1117519786" has been closed
2017-01-27T13:30:21,241 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: final I/O result have been got and processed properly
2017-01-27T13:30:21,241 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.30.19.001: closed the load monitor
2017-01-27T13:30:21,246 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" is done
2017-01-27T13:30:21,246 | INFO | SequentialJob | main | jsonScenario#2129144075: finished the sequential execution of jsonScenario#2129144075 child jobs
2017-01-27T13:30:21,246 | INFO | JsonScenario | main | Scenario end
