2017-01-27T13:29:26,334 | DEBUG | ParentJobBase | main | Load the subtree to the job "jsonScenario#2129144075"
2017-01-27T13:29:26,337 | INFO | JsonScenario | main | Scenario start
2017-01-27T13:29:26,337 | INFO | SequentialJob | main | jsonScenario#2129144075: execute 1 child jobs sequentially
2017-01-27T13:29:26,338 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" start
2017-01-27T13:29:26,338 | INFO | LoadJob | main | Run the load job "2017.01.27.13.29.25.632"
2017-01-27T13:29:26,364 | INFO | BasicStorageDriverBuilder | main | Work via HTTP using "S3" cloud storage API
2017-01-27T13:29:26,653 | INFO | LoadJob | main | Load drivers initialized
2017-01-27T13:29:26,654 | INFO | LoadJob | main | Work on the mutable data items
2017-01-27T13:29:26,666 | INFO | NetStorageDriverBase | main | Adjust output buffer size: 1MB
2017-01-27T13:29:26,823 | INFO | S3StorageDriver | main | Bucket "/2017.01.27.13.29.26.667" created
2017-01-27T13:29:26,833 | INFO | LoadJob | main | Load generators initialized
2017-01-27T13:29:26,868 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.25.632: await for the done condition at most for 15[s]
2017-01-27T13:29:26,868 | DEBUG | BasicMultiNodeConnPool | ioTasksDispatcher | New connection to "127.0.0.1:9020"
2017-01-27T13:29:41,878 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.25.632: await exit due to timeout
2017-01-27T13:29:41,878 | INFO | LoadJob | main | Load job "2017.01.27.13.29.25.632" timeout
2017-01-27T13:29:41,892 | DEBUG | BasicLoadGenerator | CreateNewDataItems(1MB) | com.emc.mongoose.load.generator.BasicLoadGenerator$GeneratorTask@4e7a66fa: finish due to output's EOF
2017-01-27T13:29:41,892 | DEBUG | BasicLoadGenerator | CreateNewDataItems(1MB) | Produced 1024000 items
2017-01-27T13:29:41,893 | DEBUG | StorageDriverBase | shutdownWorker#2 | storage/driver/1/s3/1117519786: shut down
2017-01-27T13:29:41,893 | DEBUG | BasicLoadMonitor | shutdownWorker#2 | 2017.01.27.13.29.25.632: storage driver "storage/driver/1/s3/1117519786" shut down
2017-01-27T13:29:41,902 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.25.632: load monitor was shut down properly
2017-01-27T13:29:41,906 | DEBUG | StorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: interrupted
2017-01-27T13:29:41,909 | DEBUG | NetStorageDriverBase | interruptWorker#1 | storage/driver/1/s3/1117519786: I/O workers stopped in time
2017-01-27T13:29:41,909 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.25.632: storage drivers have been interrupted properly
2017-01-27T13:29:41,909 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.25.632: interrupted the load monitor
2017-01-27T13:29:41,909 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.25.632: the load generator "CreateNewDataItems(1MB)" has been closed
2017-01-27T13:29:41,920 | DEBUG | StorageDriverBase | ioResultsGetAndApplyWorker#1 | storage/driver/1/s3/1117519786: closed
2017-01-27T13:29:41,920 | DEBUG | BasicLoadMonitor | ioResultsGetAndApplyWorker#1 | 2017.01.27.13.29.25.632: the storage driver "storage/driver/1/s3/1117519786" has been closed
2017-01-27T13:29:41,920 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.25.632: final I/O result have been got and processed properly
2017-01-27T13:29:41,923 | DEBUG | BasicLoadMonitor | main | 2017.01.27.13.29.25.632: closed the load monitor
2017-01-27T13:29:41,923 | DEBUG | SequentialJob | main | jsonScenario#2129144075: child job "singleLoadJobContainer#111900554" is done
2017-01-27T13:29:41,923 | INFO | SequentialJob | main | jsonScenario#2129144075: finished the sequential execution of jsonScenario#2129144075 child jobs
2017-01-27T13:29:41,923 | INFO | JsonScenario | main | Scenario end
