2018-10-03T12:39:40,576 | INFO |  | main | linear_20181003.123940.542: creating the storage driver instance for the type "s3"
2018-10-03T12:39:40,664 | INFO |  | main | storage/driver/1/amzs3/1910896157: use 4 I/O workers
2018-10-03T12:39:40,699 | DEBUG |  | main | storage/driver/1/amzs3/1910896157: closed
2018-10-03T12:39:40,702 | DEBUG |  | main | linear_20181003.123940.542: item output file aggregator initialized
2018-10-03T12:39:40,725 | INFO |  | main | linear_20181003.123940.542: creating the storage driver instance for the type "s3"
2018-10-03T12:39:40,727 | INFO |  | main | storage/driver/1/amzs3/443110940: use 4 I/O workers
2018-10-03T12:39:40,734 | INFO |  | main | Adjust output buffer size: 1MB
2018-10-03T12:39:40,983 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:39:40,988 | DEBUG |  | main | Metrics context "MetricsContextImpl(CREATE-1x1@linear_20181003.123940.542)" registered
2018-10-03T12:39:40,991 | INFO |  | main | linear_20181003.123940.542: load step client started, additional nodes: []
2018-10-03T12:39:41,014 | DEBUG |  | main | linear_20181003.123940.542: await for 1 step slices for at most 9223372036854775807 seconds...
2018-10-03T12:39:41,038 | DEBUG |  | ioWorker#2 | linear_20181003.123940.542: new unpooled connection -1098834043, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:41,040 | DEBUG |  | fibers-executor-#4 | linear_20181003.123940.542: execute the HTTP request using the channel -1098834043 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:41,098 | DEBUG |  | ioWorker#3 | linear_20181003.123940.542: new unpooled connection -679475873, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
