2018-10-03T12:29:48,590 | INFO |  | main | linear_20181003.122948.550: creating the storage driver instance for the type "s3"
2018-10-03T12:29:48,691 | INFO |  | main | storage/driver/1/amzs3/1542598424: use 4 I/O workers
2018-10-03T12:29:48,726 | DEBUG |  | main | storage/driver/1/amzs3/1542598424: closed
2018-10-03T12:29:48,727 | DEBUG |  | main | linear_20181003.122948.550: item output file aggregator initialized
2018-10-03T12:29:48,743 | INFO |  | main | linear_20181003.122948.550: creating the storage driver instance for the type "s3"
2018-10-03T12:29:48,744 | INFO |  | main | storage/driver/1/amzs3/739737502: use 4 I/O workers
2018-10-03T12:29:48,751 | INFO |  | main | Adjust output buffer size: 1MB
2018-10-03T12:29:49,006 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:29:49,006 | DEBUG |  | main | Metrics context "MetricsContextImpl(CREATE-1x1@linear_20181003.122948.550)" registered
2018-10-03T12:29:49,013 | INFO |  | main | linear_20181003.122948.550: load step client started, additional nodes: []
2018-10-03T12:29:49,021 | DEBUG |  | main | linear_20181003.122948.550: await for 1 step slices for at most 9223372036854775807 seconds...
2018-10-03T12:29:49,048 | DEBUG |  | ioWorker#2 | linear_20181003.122948.550: new unpooled connection 1041613070, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:29:49,051 | DEBUG |  | fibers-executor-#2 | linear_20181003.122948.550: execute the HTTP request using the channel 1041613070 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:29:49,114 | DEBUG |  | ioWorker#3 | linear_20181003.122948.550: new unpooled connection 1013800686, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:29:49,115 | DEBUG |  | fibers-executor-#2 | linear_20181003.122948.550: execute the HTTP request using the channel 1013800686 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:29:49,121 | DEBUG |  | ioWorker#4 | linear_20181003.122948.550: new unpooled connection -278635618, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:29:49,152 | DEBUG |  | fibers-executor-#2 | linear_20181003.122948.550: execute the HTTP request using the channel -278635618 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:29:49,692 | DEBUG |  | fibers-executor-#2 | linear_20181003.122948.550: count limit reached, 200 results >= 200 limit
2018-10-03T12:29:49,692 | INFO |  | fibers-executor-#2 | linear_20181003.122948.550: done due to max count (200) done state
2018-10-03T12:29:49,700 | DEBUG |  | main | storage/driver/1/amzs3/739737502: shutdown the I/O executor
2018-10-03T12:29:49,702 | DEBUG |  | main | linear_20181003.122948.550: storage driver storage/driver/1/amzs3/739737502 stopped
2018-10-03T12:29:49,702 | DEBUG |  | main | linear_20181003.122948.550: final results processing start
