2018-10-03T12:36:24,253 | INFO |  | main | linear_20181003.123624.228: creating the storage driver instance for the type "s3"
2018-10-03T12:36:24,255 | INFO |  | main | storage/driver/1/amzs3/98412281: use 4 I/O workers
2018-10-03T12:36:24,271 | DEBUG |  | main | Using the file "list2.csv" as items input
2018-10-03T12:36:24,272 | INFO |  | main | linear_20181003.123624.228: scatter the items from the input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:36:24,272 | INFO |  | main | linear_20181003.123624.228: slice the item input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:36:24,274 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": starting to distribute the items among the 1 load step slices
2018-10-03T12:36:24,316 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": 200 items was distributed among the 1 load step slices
2018-10-03T12:36:24,316 | DEBUG |  | main | linear_20181003.123624.228: item input file slicer initialized
2018-10-03T12:36:24,316 | DEBUG |  | main | storage/driver/1/amzs3/98412281: closed
2018-10-03T12:36:24,316 | DEBUG |  | main | linear_20181003.123624.228: item output file aggregator initialized
2018-10-03T12:36:24,320 | INFO |  | main | linear_20181003.123624.228: creating the storage driver instance for the type "s3"
2018-10-03T12:36:24,323 | INFO |  | main | storage/driver/1/amzs3/718512571: use 4 I/O workers
2018-10-03T12:36:24,326 | DEBUG |  | main | Using the file "/tmp/mongoose/343907753668055" as items input
2018-10-03T12:36:24,348 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:36:24,348 | DEBUG |  | main | Metrics context "MetricsContextImpl(UPDATE-1x1@linear_20181003.123624.228)" registered
2018-10-03T12:36:24,349 | INFO |  | main | linear_20181003.123624.228: load step client started, additional nodes: []
2018-10-03T12:36:24,349 | DEBUG |  | main | linear_20181003.123624.228: await for 1 step slices for at most 9223372036854775807 seconds...
2018-10-03T12:36:24,352 | DEBUG |  | ioWorker#2 | linear_20181003.123624.228: new unpooled connection 1325511373, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:24,353 | DEBUG |  | fibers-executor-#2 | linear_20181003.123624.228: execute the HTTP request using the channel 1325511373 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:24,357 | DEBUG |  | ioWorker#3 | linear_20181003.123624.228: new unpooled connection 503635615, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:24,357 | DEBUG |  | fibers-executor-#2 | linear_20181003.123624.228: execute the HTTP request using the channel 503635615 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:36:24,399 | DEBUG |  | fibers-executor-#2 | End of items input "binFileInput<343907753668055>"
2018-10-03T12:36:46,308 | DEBUG |  | fibers-executor-#1 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,308 | INFO |  | fibers-executor-#1 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,336 | DEBUG |  | fibers-executor-#4 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,336 | INFO |  | fibers-executor-#4 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,344 | DEBUG |  | fibers-executor-#2 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,344 | INFO |  | fibers-executor-#2 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,361 | DEBUG |  | fibers-executor-#3 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,361 | INFO |  | fibers-executor-#3 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,367 | DEBUG |  | fibers-executor-#2 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,367 | INFO |  | fibers-executor-#2 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,388 | DEBUG |  | fibers-executor-#2 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,388 | INFO |  | fibers-executor-#2 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,414 | DEBUG |  | fibers-executor-#1 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,415 | DEBUG |  | fibers-executor-#3 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,415 | INFO |  | fibers-executor-#1 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,415 | INFO |  | fibers-executor-#3 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,419 | DEBUG |  | fibers-executor-#3 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,419 | INFO |  | fibers-executor-#3 | linear_20181003.123624.228: done due to max count (20000) done state
2018-10-03T12:36:46,448 | DEBUG |  | fibers-executor-#4 | linear_20181003.123624.228: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:36:46,448 | INFO |  | fibers-executor-#4 | linear_20181003.123624.228: done due to max count (20000) done state
