2018-10-03T12:39:41,948 | INFO |  | main | linear_20181003.123941.937: creating the storage driver instance for the type "s3"
2018-10-03T12:39:41,950 | INFO |  | main | storage/driver/1/amzs3/517693873: use 4 I/O workers
2018-10-03T12:39:41,976 | DEBUG |  | main | Using the file "list2.csv" as items input
2018-10-03T12:39:41,977 | INFO |  | main | linear_20181003.123941.937: scatter the items from the input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:39:41,978 | INFO |  | main | linear_20181003.123941.937: slice the item input "DataItemsFromFile(list2.csv)"...
2018-10-03T12:39:41,982 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": starting to distribute the items among the 1 load step slices
2018-10-03T12:39:42,005 | INFO |  | main | Items input "DataItemsFromFile(list2.csv)": 200 items was distributed among the 1 load step slices
2018-10-03T12:39:42,007 | DEBUG |  | main | linear_20181003.123941.937: item input file slicer initialized
2018-10-03T12:39:42,007 | DEBUG |  | main | storage/driver/1/amzs3/517693873: closed
2018-10-03T12:39:42,008 | DEBUG |  | main | linear_20181003.123941.937: item output file aggregator initialized
2018-10-03T12:39:42,011 | INFO |  | main | linear_20181003.123941.937: creating the storage driver instance for the type "s3"
2018-10-03T12:39:42,012 | INFO |  | main | storage/driver/1/amzs3/49547843: use 4 I/O workers
2018-10-03T12:39:42,019 | DEBUG |  | main | Using the file "/tmp/mongoose/344105458185873" as items input
2018-10-03T12:39:42,038 | DEBUG |  | main | Started the metrics manager fiber
2018-10-03T12:39:42,038 | DEBUG |  | main | Metrics context "MetricsContextImpl(UPDATE-1x1@linear_20181003.123941.937)" registered
2018-10-03T12:39:42,038 | INFO |  | main | linear_20181003.123941.937: load step client started, additional nodes: []
2018-10-03T12:39:42,038 | DEBUG |  | main | linear_20181003.123941.937: await for 1 step slices for at most 9223372036854775807 seconds...
2018-10-03T12:39:42,039 | DEBUG |  | ioWorker#2 | linear_20181003.123941.937: new unpooled connection -2136400737, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:42,039 | DEBUG |  | fibers-executor-#1 | linear_20181003.123941.937: execute the HTTP request using the channel -2136400737 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:42,051 | DEBUG |  | ioWorker#3 | linear_20181003.123941.937: new unpooled connection 396235329, pipeline: DefaultChannelPipeline{(NettyStorageDriverBase$1#0 = com.emc.mongoose.storage.driver.coop.netty.NettyStorageDriverBase$1), (IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:42,051 | DEBUG |  | fibers-executor-#1 | linear_20181003.123941.937: execute the HTTP request using the channel 396235329 w/ pipeline: DefaultChannelPipeline{(IdleStateHandler#0 = io.netty.handler.timeout.IdleStateHandler), (HttpClientCodec#0 = io.netty.handler.codec.http.HttpClientCodec), (ChunkedWriteHandler#0 = io.netty.handler.stream.ChunkedWriteHandler), (AmzS3ResponseHandler#0 = com.emc.mongoose.storage.driver.coop.netty.http.s3.AmzS3ResponseHandler)}
2018-10-03T12:39:42,077 | DEBUG |  | fibers-executor-#2 | End of items input "binFileInput<344105458185873>"
2018-10-03T12:40:01,577 | DEBUG |  | fibers-executor-#4 | linear_20181003.123941.937: count limit reached, 20000 results >= 20000 limit
2018-10-03T12:40:01,577 | INFO |  | fibers-executor-#4 | linear_20181003.123941.937: done due to max count (20000) done state
2018-10-03T12:40:01,583 | DEBUG |  | fibers-executor-#3 | linear_20181003.123941.937: count limit reached, 20000 results >= 20000 limit
